Symbol,Date,Time,Type,RVOL,Max_Gain_30m,Final_PnL_30m,Is_Win
AXISBANK,2025-12-02,2025-12-02 11:55:00+05:30,SHORT,0.72311037110296,0.03948199620972836,0.02368919772585138,True
HCLTECH,2025-11-18,2025-11-18 12:45:00+05:30,SHORT,1.3344244687108406,0.11934673366834742,-0.18844221105527637,False
HCLTECH,2025-11-25,2025-11-25 10:55:00+05:30,SHORT,0.6908906388860075,0.11289513296539022,-0.18188660311087954,False
HCLTECH,2025-11-26,2025-11-26 11:10:00+05:30,LONG,1.0200358873939945,0.31539888682745265,0.08039579468150616,True
HCLTECH,2025-12-01,2025-12-01 11:25:00+05:30,LONG,2.1130202071132143,0.21400183430143688,0.12840110058085658,True
HCLTECH,2025-12-02,2025-12-02 11:15:00+05:30,SHORT,6.5604348690597325,0.40475898442290625,0.07359254262233646,True
ASIANPAINT,2025-11-26,2025-11-26 14:25:00+05:30,SHORT,3.1038911975821684,0.0489681706890553,-0.34277719482337116,False
ASIANPAINT,2025-12-01,2025-12-01 11:45:00+05:30,SHORT,1.0351966873706004,0.0105053051791059,-0.035017683930384846,False
DIVISLAB,2025-11-18,2025-11-18 15:00:00+05:30,SHORT,3.2816114109483427,0.007727378100610463,0.0,False
DIVISLAB,2025-11-19,2025-11-19 11:25:00+05:30,SHORT,0.49565074675857546,0.00777000777000777,-0.1320901320901321,False
DIVISLAB,2025-11-24,2025-11-24 11:15:00+05:30,SHORT,0.5436993621789347,0.0316105579263474,-0.3793266951161688,False
DIVISLAB,2025-11-25,2025-11-25 13:05:00+05:30,LONG,2.7908343125734434,0.5634684614180623,0.5086868054468617,True
DIVISLAB,2025-11-28,2025-11-28 11:55:00+05:30,SHORT,0.6329387870615459,0.16291698991466252,0.07757951900698215,True
DIVISLAB,2025-12-01,2025-12-01 14:50:00+05:30,SHORT,1.375202405736757,0.14811350171499843,-0.14811350171499843,False
DIVISLAB,2025-12-03,2025-12-03 15:10:00+05:30,LONG,1.6105904711973262,0.10835074684621933,-0.007739339060444238,False
TCS,2025-11-18,2025-11-18 15:10:00+05:30,SHORT,2.095985523894723,0.19455252918287938,0.12645914396887456,True
