Symbol,Date,Type,Zone,RVOL,Entry,Exit,Reason,Spot_PnL,Option_PnL,Total_Profit
AXISBANK,2025-12-01,SHORT,GOLD,2.11973025200142,1272.8,1276.0,EOD,-3.2000000000000455,-1.6000000000000227,-1000.0000000000142
AXISBANK,2025-12-02,SHORT,QUIET,1.2572780446827048,1266.0,1259.7,Time Limit (60m),6.2999999999999545,3.1499999999999773,1968.749999999986
HCLTECH,2025-11-18,SHORT,QUIET,1.3344244687108406,1592.0,1594.5,Time Limit (60m),-2.5,-1.25,-875.0
HCLTECH,2025-11-26,LONG,QUIET,1.0200358873939945,1617.0,1620.5,Time Limit (60m),3.5,1.75,1225.0
HCLTECH,2025-11-27,LONG,GOLD,2.1354361080004978,1630.2,1630.2,EOD,0.0,0.0,0.0
HCLTECH,2025-12-01,LONG,GOLD,2.1130202071132143,1635.5,1638.8,Time Limit (60m),3.2999999999999545,1.6499999999999773,1154.999999999984
ASIANPAINT,2025-12-01,SHORT,QUIET,1.0351966873706004,2855.7,2851.5,Time Limit (60m),4.199999999999818,2.099999999999909,419.9999999999818
DIVISLAB,2025-12-01,SHORT,QUIET,1.375202405736757,6414.0,6419.5,EOD,-5.5,-2.75,-550.0
DIVISLAB,2025-12-03,LONG,GOLD,1.6105904711973262,6460.5,6460.0,EOD,-0.5,-0.25,-50.0
TCS,2025-11-18,SHORT,GOLD,2.095985523894723,3084.0,3080.1,EOD,3.900000000000091,1.9500000000000455,341.25000000000796
TCS,2025-11-21,LONG,GOLD,2.099235563823767,3165.1,3149.2745,SL Hit,-15.82549999999992,-7.91274999999996,-1384.731249999993
TCS,2025-11-25,SHORT,QUIET,1.0389594694623623,3120.1,3116.6,Time Limit (60m),3.5,1.75,306.25
TCS,2025-11-27,SHORT,QUIET,1.1119348716766286,3127.0,3130.9,Time Limit (60m),-3.900000000000091,-1.9500000000000455,-341.25000000000796
TCS,2025-12-01,SHORT,GOLD,1.7431171336595117,3124.3,3134.0,Time Limit (60m),-9.699999999999818,-4.849999999999909,-848.7499999999841
WIPRO,2025-11-26,LONG,QUIET,1.4045906419274161,248.16,249.4,Time Limit (60m),1.240000000000009,0.6200000000000045,930.0000000000068
ITC,2025-11-18,SHORT,QUIET,1.328643480194467,404.7,405.2,Time Limit (60m),-0.5,-0.25,-400.0
ITC,2025-11-19,SHORT,GOLD,1.9996988893452465,403.65,404.0,Time Limit (60m),-0.35000000000002274,-0.17500000000001137,-280.0000000000182
ITC,2025-11-20,LONG,GOLD,1.5157990777798762,405.2,405.0,EOD,-0.19999999999998863,-0.09999999999999432,-159.9999999999909
ITC,2025-11-21,LONG,QUIET,1.2458716931110017,407.45,407.55,Time Limit (60m),0.10000000000002274,0.05000000000001137,80.00000000001819
ITC,2025-11-27,LONG,GOLD,1.53846630236907,404.0,405.0,EOD,1.0,0.5,800.0
BAJAJ-AUTO,2025-11-20,LONG,GOLD,2.2921951077290883,8958.0,8952.5,Time Limit (60m),-5.5,-2.75,-1375.0
BAJAJ-AUTO,2025-11-21,SHORT,QUIET,1.3602349152221276,8910.0,8900.0,Time Limit (60m),10.0,5.0,2500.0
BAJAJ-AUTO,2025-11-27,SHORT,QUIET,1.4505331394644372,9041.0,9057.5,Time Limit (60m),-16.5,-8.25,-4125.0
BAJAJ-AUTO,2025-12-03,SHORT,GOLD,2.4844977263331955,8958.0,8953.5,Time Limit (60m),4.5,2.25,1125.0
BRITANNIA,2025-12-02,LONG,GOLD,1.6021072932100944,5857.5,5888.0,EOD,30.5,15.25,3050.0
HDFCBANK,2025-11-24,LONG,QUIET,1.2588871401503987,1006.15,1001.11925,SL Hit,-5.030750000000012,-2.515375000000006,-1383.4562500000034
HDFCBANK,2025-11-26,LONG,QUIET,1.1323456231621805,1001.55,1002.3,Time Limit (60m),0.75,0.375,206.25
HDFCBANK,2025-12-01,SHORT,QUIET,1.4759186867679759,1003.7,1002.5,Time Limit (60m),1.2000000000000455,0.6000000000000227,330.0000000000125
HDFCBANK,2025-12-03,LONG,GOLD,1.5519255477793417,995.4,1000.6,Time Limit (60m),5.2000000000000455,2.6000000000000227,1430.0000000000125
LT,2025-11-18,SHORT,GOLD,2.0166268694640896,4008.0,3998.9,EOD,9.099999999999909,4.5499999999999545,1364.9999999999864
LT,2025-11-20,LONG,GOLD,1.8443061455767928,4037.7,4039.0,Time Limit (60m),1.300000000000182,0.650000000000091,195.00000000002728
LT,2025-11-24,SHORT,GOLD,1.6949518555931733,4006.5,4006.5,EOD,0.0,0.0,0.0
LT,2025-11-25,LONG,QUIET,1.0416176332813105,4035.8,4050.6,Time Limit (60m),14.799999999999727,7.399999999999864,2219.999999999959
LT,2025-12-02,SHORT,QUIET,1.264855186078958,4046.1,4037.9,Time Limit (60m),8.199999999999818,4.099999999999909,1229.9999999999727
RELIANCE,2025-11-18,LONG,QUIET,1.4991595888678992,1525.5,1525.1,Time Limit (60m),-0.40000000000009095,-0.20000000000004547,-50.00000000001137
RELIANCE,2025-11-25,LONG,QUIET,1.1676380381986893,1547.2,1549.5,Time Limit (60m),2.2999999999999545,1.1499999999999773,287.4999999999943
