Date,OptionSymbol,Low,High,MaxReturn%,Volume
2025-12-24,KPITTECH25DEC1220PE,6.8,15.2,123.5,344400.0
2025-12-24,LAURUSLABS25DEC1090CE,5.15,12.5,142.7,5241100.0
2025-12-24,LAURUSLABS25DEC1090PE,9.1,19.4,113.2,1071000.0
2025-12-24,LICHSGFIN25DEC540CE,1.65,4.9,197.0,4150000.0
2025-12-24,LICHSGFIN25DEC540PE,3.2,6.65,107.8,1076000.0
2025-12-24,LICI25DEC850CE,6.05,11.4,88.4,146300.0
2025-12-24,LICI25DEC850PE,3.0,5.55,85.0,260400.0
2025-12-24,LODHA25DEC1080CE,9.3,19.35,108.1,405900.0
2025-12-24,LODHA25DEC1080PE,6.9,13.0,88.4,287550.0
2025-12-24,LT25DEC4060CE,21.95,36.85,67.9,852075.0
2025-12-24,LT25DEC4060PE,19.05,32.75,71.9,492975.0
2025-12-24,LTF25DEC302.5CE,3.3,9.0,172.7,1900812.0
2025-12-24,LTF25DEC302.5PE,1.2,3.5,191.7,4569088.0
2025-12-24,LTIM25DEC6150CE,47.85,117.5,145.6,51300.0
2025-12-24,LTIM25DEC6150PE,24.2,60.0,147.9,171750.0
2025-12-24,LUPIN25DEC2100CE,13.4,25.0,86.6,400350.0
2025-12-24,LUPIN25DEC2100PE,10.9,18.0,65.1,462400.0
2025-12-24,MANAPPURAM25DEC315CE,0.5,5.1,920.0,41172000.0
2025-12-24,MANAPPURAM25DEC315PE,4.75,7.95,67.4,1755000.0
2025-12-24,MANKIND25DEC2200CE,12.0,51.95,332.9,288225.0
2025-12-24,MANKIND25DEC2200PE,6.85,26.35,284.7,345825.0
2025-12-24,MARICO25DEC730CE,6.2,11.55,86.3,306000.0
2025-12-24,MARICO25DEC730PE,2.3,5.5,139.1,937200.0
2025-12-24,MARUTI25DEC16700CE,55.0,104.2,89.5,784800.0
2025-12-24,MARUTI25DEC16700PE,105.05,214.25,104.0,180050.0
2025-12-24,MAXHEALTH25DEC1080CE,7.25,15.0,106.9,937650.0
2025-12-24,MAXHEALTH25DEC1080PE,6.4,15.5,142.2,603750.0
2025-12-24,MAZDOCK25DEC2550CE,17.95,42.7,137.9,3410925.0
2025-12-24,MAZDOCK25DEC2550PE,28.35,60.0,111.6,734650.0
2025-12-24,MCX25DEC10800CE,115.1,198.65,72.6,412750.0
2025-12-24,MCX25DEC10800PE,81.95,126.0,53.8,934375.0
2025-12-24,MFSL25DEC1680CE,12.25,37.2,203.7,59600.0
2025-12-24,MFSL25DEC1680PE,5.7,15.65,174.6,147600.0
2025-12-24,MOTHERSON25DEC120CE,0.93,2.0,115.1,16039200.0
2025-12-24,MOTHERSON25DEC120PE,1.1,1.62,47.3,8868300.0
2025-12-24,MPHASIS25DEC2900CE,25.5,59.7,134.1,529100.0
